Student   Test1   Test2   Test3   Test4   Test5   Average   Grade
Balto       85      83      77      91      76      82.00     B
Mickey      80      90      95      93      48      81.00     B
Minnie      78      81      11      90      73      66.00     D
Doc         92      83      30      69      87      72.00     C
Goofy       23      45      96      38      59      52.00     F
Duckey      60      85      45      39      67      59.00     F
Grumpy      27      31      52      74      83      53.00     F
Sunny       93      94      89      77      97      90.00     A
Piggy       79      85      28      93      82      73.00     C
Pluto       85      72      49      75      63      68.00     D

Class Average = 69.60
